Ba_002_2_21	711	Разиграло съ й Черното море	Хороводна (на засевки на двора)	Пее се на засевки на двора	"Разиграло се Черното море, Черното море и бял Дунава"	
Ba_002_2_22	685	Тънка Найда вода гази	Хороводна (на засевки вкъщи)	Пее се на засевки вкъщи	"Тънка Найда вода гази, Найдо, Найдо, тънка Найдо"	
Ba_002_2_23	715	Стойчо сиди на дюкяна	Хороводна (на засевки на двора)	Пее се на засевки на двора	"Стойчо сиди, любе, на дюкяна, на дюкяна, любе, на пюшкюня"	
Ba_002_2_24	343	"Дядо Пано, дермянджийо"	На сватба (хоро на сладката ракия)	Пее се на сладката ракия	"Дядо Пано, дермянджийо, върви ли ти воденичката"	
Ba_002_2_25	718	Тъкала й Донка пристилки	Хороводна (на засевки на двора)	Пее се на засевки на двора	"Тъкала е Донка престилки, Доне мари, бяло момиче"	
Ba_002_2_26	655	Пасъл е Митьо вакли шилята	Хороводна (на засевки)	Пее се на засевки	"Пасъл е Митьо вакли шилета, че си загуби медни кавали"	
Ba_002_2_27	695	"Дони ле, Дончици ле"	Хороводна (на засевки на двора)	Пее се на засевки на двора	"Дони ле, Дончици ле, че кой ти шари тоз гердан"	
Ba_002_2_28	670	Герги лози сеи	Хороводна (на засевки вкъщи)	Пее се на засевки вкъщи	"Герги лози сее, Рада му се смее"	
Ba_002_2_29	719	"Ходи, бульо, думай добро за меня"	Хороводна (на засевки на двора)	Пее се на засевки на двора	"Ходи, бульо, думай добро за мене, дано дойде пирпири Пенка при мене"	
Ba_002_2_30	693	Данка Едрецов Колюва	Хороводна (на засевки на двора)	Пее се на засевки на двора	"Данка Едрецов Колюва, Данка е чорба варила"	
Ba_002_2_31	703	"Мари Радо, бяла Радо"	Хороводна (на засевки на двора)	Пее се на засевки на двора	"Мари Радо, бяла Радо, ти ли любиш войводата"	
Ba_002_2_32	808	Мама Марийки думаши	Хороводна (на мегдана)	Пее се на мегдана	"Мама Марийки думаше: Марийке, казъм Марийке"	
Ba_002_2_33	864	Първа вечер вичеряли	Хороводна  (ръченица)	Ръченица	Първа вечер вечеряли	
Ba_002_2_34	713	Стана платно тъче	Хороводна (на засевки на двора)	Пее се на засевки на двора	Стана платно тъче във горна градинка	
Ba_002_2_35	477	Мойто люби парясано ходи	Седенкарска (на разтуряне на седянката)	Пее се на разтуряне на седянката	"Мойто люби парясано ходи.  Нека, нека ходи, акъл да му доди"	
Ba_002_2_36	712	Снощи излязв	Хороводна (на засевки на двора)	Пее се на засевки на двора	"Снощи излязох ни в едно време, дърва да сека, огън да клада"	
Ba_002_2_37	688	Беляла йе Драганка	Хороводна (на засевки на двора)	Пее се на засевки на двора	Белила е Драганка тънки бели дарове	
Ba_002_2_38	710	Прочу са студен кладенец	Хороводна (на засевки на двора)	Пее се на засевки на двора	Прочу са студен кладенец...	
Ba_002_2_39	699	Иван на Яна думаши	Хороводна (на засевки на двора)	Пее се на засевки на двора	"Иван на Яна думаше: Яно мо, Ангилино мо"	
Ba_002_2_40	799	Какво е цвети цъфнало	Хороводна (на мегдана)	Пее се на мегдана	Какво е цвети цъфнало в поп Николовата градинка	
Ba_002_2_41	708	Похвали са буля със калина	Хороводна (на засевки на двора)	Пее се на засевки на двора	"Похвали са буля със калина, че си има хрисима калина"	
Ba_002_2_42	701	"Кани се Гьорги, кани се"	Хороводна (на засевки на двора)	Пее се на засевки на двора	Кани се Гьорги да иде по Катърлийски кърища	
Ba_002_2_43	704	"Мари Радо, бяла Радо"	Хороводна (на засевки на двора)	Пее се на засевки на двора	"Мари Радо, бяла Радо, хайде да са спобратимим"	
Ba_002_2_44	814	Присмя са Кера Младену	Хороводна (на мегдана)	Пее се на мегдана	"Присмя са Кера Младено, че Младен, че чиляк ли е"	
Ba_003_1_01	680	Мама Яна тихом проговаря	Хороводна (на засевки вкъщи)	Пее се на засевки вкъщи	"Мама Яна тихом проговаря: Мари Яно, мари сулуджано"	
Ba_003_1_02	686	Юнак върви през горица зелена	Хороводна	Пее се на засевки вкъщи	"Юнак върви през горица зелена, тютюн пуши с лулица червена"	
Ba_003_1_03	678	Кадъна вино ни пийе	Хороводна (на засевки вкъщи)	Пее се на засевки вкъщи	"Кадъна лозе не копае, кадъна вино ни пие"	
Ba_003_1_04	714	"Стани, мъжо, за дърва да идеш"	Хороводна (на засевки на двора)	Пее се на засевки на двора	"Стани, мъжо, за дърва да идеш"	
Ba_003_1_05	675	"Земи ма, Радо, земи ма, любе"	Хороводна (на засевки вкъщи)	Пее се на засевки вкъщи	"Земи ма, Радо, земи ма, любе, че ний сми хора много богати"	
